"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"ip_kickfromclan","Kick","Kick","Vykopnout","Kick","Выгнать","Rozpoczęcie","Lerúg","Calcio","Patada","Donner un coup","踢出","キック","Chutar","踢出",
"ip_nameclan","Name of new clan","Name of new clan","Název nového klanu","Name des neuen Clans","Название клана","Nazwa nowego klanu","Az új klán neve","Nome del nuovo clan","Nombre del nuevo clan","Nom du nouveau clan","起一个家族的名称","新しい一族の名前","Nome do novo clã","起一个家族的名称",
"ip_playersonline","Players online","Players online","Hráči na serveru","Spieler online","Игроки в сети","Gracze serwera","Szerverjátékosok","Giocatori online","Jugadores en línea","Joueurs en ligne","在线玩家","オンラインのプレイヤー","Jogadores online","在线玩家",
"ip_incominginvitefromclan","You have an invitation to","You have an invitation to","Máš pozvánku do klanu","Du hast eine Einladung zu","Тебя пригласили в","Masz zaproszenie do klanu","Meghívja a klánot","Hai un invito a.","Tienes una invitación a.","Vous avez une invitation à.","你有一张邀请函","招待状があります","Você tem um convite para.","你有一张邀请函",
"ip_kickedfromfromclan","You were kicked from","You were kicked from","Byl jsi vyhozen z","You were kicked from","Тебя выгнали из","Zostałeś zwolniony","Kirúgták tőled","Sei stato preso a calci da","Fuiste pateado de","Tu as été expulsé de","你被踢出","あなたは蹴られました","Você foi chutado de","你被踢出",
"ip_addfriend","Add friend","Add friend","Přidat přítele","Freund hinzufügen","Добавить друга","Dodaj znajomego","Adj hozzá egy barátot","AGGIUNGI AMICO","AÑADIR AMIGO","AJOUTER UN AMI","添加好友","友人を追加する","Add amigo","添加好友",
"ip_beenaddedtoclan","You have been added to clan","You have been added to clan","Byli jste přidáni do klanu","Du wurdest zum Clan hinzugefügt","Ты добавлен в клан","Zostałeś dodany do klanu","Hozzáadták a klánhoz","Eri aggiunto al clan","Estabas agregado al clan","Tu étais ajouté au clan","您已被添加到家族","クランに追加されました","Você foi add ao clã","您已被添加到家族",
"pp_items_name","Tax","Tax","Poplatek","Steuer","Налог","Opłata","Díj","Imposta","Impuesto","Impôt","税","税","Imposto","税",
"pp_items_radius","Radius","Radius","Poloměr","Radius","Радиус","Promień","Sugár","Fulmine","Iluminación","Éclair","半径","半径","Raio","半径",
"pp_items_time","Validity","Validity","Platnost","Gültigkeit","Срок действия","Ważność","Érvényesség","Validità","Validez","Validité","有效期","有効","Validade","有效期",
"pp_validthrough","Valid through","Valid through","Platné do","Gültig bis","Действительно до","Ważne do","Ig érvényes","Valido fino a","Válido hasta","Valable jusque","有效期至","介して有効です","Válido até","有效期至",
"pp_protection","Territory protection","Territory protection","Ochrana území","Territorialer Schutz","Защита территории","Terytorium","Terület","Protezione territoriale","Protección territorial","Protection territoriale","领地保护","領土保護","Proteção territorial","领地保护",
"pp_daysremains","Days remains","Days remains","Zbývá dnů","Tage bleibt","Осталось дней","Zostały dni","Vannak napok maradnak","giorni rimanenti","Días restantes","Jours restant","剩余天数","日が残っています","Dias restantes","剩余天数",
"pp_title","Tax Administration","Tax Administration","Daňová správa","Steuerverwaltung","Управление налогами","Administracja podatkowa","Adóügyi adminisztráció","Amministrazione delle tasse","Administración de Impuestos","L'administration des impôts","税务管理","税務管理","Administração Tributária","税务管理",
"pp_context_menu_pack","Dismantle Plot pole","Dismantle Plot pole","Demontovat pozemkovou zančku","Plot pole demontieren","Разобрать столб межевания","Zdemontować","Szétszerel","Smontare il palo","Desmontar el poste","Démonter le poteau","拆除基地杆","プロットポールを解体します","Desmonte o poste","拆除基地杆",
"pp_someone_is_trying_to_get_into_your_base","Someone is trying to get into your base.","Someone is trying to get into your base.","Někdo se snaží dostat do vaší základy.","Jemand versucht, in deine Basis zu gelangen.","Кто-то пытается проникнуть на твою базу","Ktoś próbuje dostać się do twojego fundamentu.","Valaki megpróbál eljutni az alapjához.","Qualcuno sta cercando di entrare nella tua base.","Alguien está tratando de entrar en tu base.","Quelqu'un essaie d'entrer dans votre base.","有人想进入你的基地。","誰かがあなたの基地に入ろうとしています。","Alguém está tentando entrar na sua base.","有人想进入你的基地。",
"pp_welcome_home","Welcome home.","Welcome home.","Vítej doma.","Willkommen zu Hause.","Добро пожаловать домой","Witaj w domu.","Üdv itthon.","Benvenuto a casa.","Bienvenido a casa.","Bienvenue à la maison.","欢迎回家","おかえりなさい。","Bem-vindo ao lar.","欢迎回家",
"pp_you_are_in_enemy_territory","You are in enemy territory.","You are in enemy territory.","Jsi na nepřátelském území.","Du bist im feindlichen Gebiet.","Ты на чужой территории","Jesteś na terytorium wroga.","Az ellenség területén vagy.","Sei nel territorio nemico.","Estás en territorio enemigo.","Vous êtes en territoire ennemi.","你在他人的领地上。","あなたは敵の領土にいます。","Você está em território inimigo.","你在他人的领地上。",
"pp_you_left_home","You left home.","You left home.","Opustil si base.","Du hast dein Zuhause verlassen.","Ты покинул дом","Lewa baza.","Bal bázis.","Hai lasciato casa.","Te fuiste de casa.","Vous avez quitté la maison.","你离开了你的家","あなたは家を出ました。","Você saiu de casa.","你离开了你的家",
"pp_you_left_enemy_territory","You left enemy territory.","You left enemy territory.","Opustil si nepřátelské území.","Du hast feindliches Gebiet verlassen.","Ты покинул чужую территорию","Opuścił swoje terytorium wroga.","Elhagyta az ellenség területét.","Hai lasciato il territorio nemico.","Dejaste el enemigo del territorio.","Vous avez quitté le territoire ennemi.","你离开了他人的领地。","あなたは敵の領土を去りました。","Você deixou território inimigo.","你离开了他人的领地。",
"ip_cs_displayIcon","Show clan mate icons","Show clan mate icons","Zobrazit ikony hráčů tvého klanu","Show clan mate icons","Показывать значки игроков вашего клана","Zobacz ikony graczy klanu","Tekintse meg a klánjátékosok ikonjait","Mostra icone di colleghi del clan","Mostrar íconos de colegas del clan","Montrer des icônes de collègues de clan","显示成员图标","クランメイトのアイコンを表示します","Mostrar ícones dos colegas do clã","显示成员图标",
"STR_alp_HouseKey","House key","House key","Klíč od domu","Hausschlüssel","Ключ от дома","klucz od domu","Házkulcs","chiave di casa","llave de casa","clé de la maison","房屋钥匙","ハウスキー","Chave da casa","房屋钥匙",
"pp_items_landtax","Land Tax","Land Tax","Daň z pozemku","Grundsteuer","Земельный налог","Podatek gruntowy","Földadó","Tassa sul territorio","Impuesto sobre el territorio","Taxe sur le territoire","土地税","土地税","Imposto território","土地税",
"pp_items_buildingtax","Building Tax","Building Tax","Daň ze stavby","Gebäudesteuer","Налог на постройки","Podatek budowlany","Építési adó","Imposta patrimoniale","Impuesto a la propiedad","Taxe de propriété","建筑税","建築税","Imposto predial","建筑税",
"pp_title_estate","Estate","Estate","Majetek","Nachlass","Недвижимость","Nieruchomość","Ingatlan","Proprietà","Propiedad","Biens","房地产","エステート","Propriedade","房地产",
"pp_items_fingerprintlock","Locking by fingerprints","Locking by fingerprints","Zámky na otisk prstů","Sperren durch Fingerabdrücke","Блокировка по отпечаткам пальцев","Zamki odcisków palców","Ujjlenyomat -zárak","Impronte digitali","Huellas digitales","Empreintes","指纹锁的","指紋によるロック","Impressões digitais","指纹锁的",
"pp_items_landtaxperday","Tax per day","Tax per day","Poplatek/den","Steuer pro Tag","Налог в день","Opłata/dzień","Díj/nap","Imposto al giorno","Impuesto por día","Imposé par jour","每天的税收","1日あたりの税","Imposto por dia","每天的税收",
"pp_items_lockprotection","Lock breakage protection","Lock breakage protection","Ochrana proti vylomení zámku","Schlossbruchschutz","Защита от взлома замка","Ochrona zablokowania","Zárvédelem","Protezione Gazua","Protección de gazua","Protection du gazua","破锁保护","破損保護をロックします","Proteção gazua","破锁保护",
"pp_items_durabledoorsname","Durable doors","Durable doors","Zesílené dveře","langlebige Tür","Прочные двери","Wzmocnione drzwi","Megerősített ajtó","Porte durevoli","Puertas duraderas","Portes durables","耐用的门","耐久性のあるドア","Portas duráveis","耐用的门",
"pp_houseID","House ID","House ID","ID domu","Haus-ID","Идентификатор дома","Identyfikator domu","A ház azonosítója","ID Home","ID de inicio","ID à domicile","房屋编号","ハウスID","ID da Casa","房屋编号",
"pp_doorID","Door ID","Door ID","ID dveří","Tür-ID","Идентификатор двери","Identyfikator drzwi","Ajtó azonosítója","ID porta","ID de puerta","Id de porte","门牌号","ドアID","ID da Porta","门牌号",
"pp_masterkey","Master key","Master key","Univerzální klíč","Hauptschlüssel","Мастер ключ","Klucz główny","Mester kulcs","Chiave principale","Llave maestra","Passe-partout","主密钥","マスターキー","Chave mestra","主密钥",
"pp_permission_taxes","Clan mates has permission to acces","Clan mates has permission to acces","Členové klanu mají oprávnění k přístupu","Clan-Mitglieder haben Zugangserlaubnis","Члены клана имеют разрешение на доступ","Członkowie klanu mają pozwolenie na dostęp","A klán tagjai engedélyt kapnak a hozzáférésre","I colleghi del clan possono accedere","Los colegas del clan pueden acceder","Les collègues de clan sont autorisés à accéder","氏族成员有权访问","一族の仲間は、ACCEの許可を持っています","Os colegas de clã têm permissão para acessar","氏族成员有权访问",
"pp_permission_placing","Clan mates has permission to place objects","Clan mates has permission to place objects","Členové klanu mají oprávnění umisťovat předměty","Clan-Mitglieder haben die Erlaubnis, Objekte zu platzieren","Члены клана имеют разрешение размещать объекты","Członkowie klanu są upoważnieni do umieszczania przedmiotów","A klán tagjai felhatalmazást kapnak a tárgyak elhelyezésére","I colleghi del clan sono autorizzati a mettere oggetti","Los colegas del clan pueden poner objetos","Les collègues de clan sont autorisés à mettre des objets","氏族成员有权放置物品","一族の仲間は、オブジェクトを配置する許可を持っています","Os colegas do clã têm permissão para colocar objetos","氏族成员有权放置物品",
"pp_permission_fingerprints","Clan mates has permission to open doors by fingerprints","Clan mates has permission to open doors by fingerprints","Členové klanu mají povolení otevírat dveře pomocí otisků prstů","Clan-Mitglieder haben die Erlaubnis, Türen durch Fingerabdrücke zu öffnen","Члены клана имеют право открывать двери по отпечаткам пальцев","Członkowie klanu mają pozwolenie na otwarcie drzwi za pomocą odcisków palców","A klán tagjai engedélyt kapnak az ajtó ujjlenyomatokkal történő kinyitására","I colleghi del clan sono autorizzati ad aprire le porte dalle impronte digitali","Los colegas del clan pueden abrir puertas por huellas digitales","Les collègues de clan sont autorisés à ouvrir les portes par des empreintes digitales","部落成员有权通过指纹开门","一族の仲間は、指紋でドアを開ける許可を持っています","Os colegas do clã têm permissão para abrir portas por impressões digitais","部落成员有权通过指纹开门",
"pp_permissions_setting","Permission settings for clan","Permission settings for clan","Nastavení oprávnění pro klan","Berechtigungseinstellungen für den Clan","Настройки разрешений для клана","Ustawienie uprawnień do klanu","Engedélyek beállítása egy klán számára","Impostazioni del permesso del clan","Configuración del permiso del clan","Paramètres d'autorisation du clan","部落权限设置","クランの許可設定","Configurações de permissão para clã","部落权限设置",
"pp_permissions_claimbed","Clan mates are allowed to claim bed","Clan mates are allowed to claim bed","Členové klanu si mohou nárokovat lůžko","Clanmitglieder dürfen Bett beanspruchen","Члены клана могут занимать кровать","Członkowie klanu mogą ubiegać się o łóżko","A klán tagjai igénybe vehetnek egy ágyat","I colleghi del clan possono rivendicare il letto. (Translation_Gelouko_OTera)","Los colegas del clan pueden reclamar la cama. (Traducción_gelouko_otera)","Les collègues du clan peuvent revendiquer le lit. (Traduction_gelouko_otera)","允许氏族成员要求床位","一族の仲間はベッドを請求することが許可されています","Os colegas do clã podem reivindicar a cama.    (Tradução_Gelouko_Otera)","允许氏族成员要求床位",
"pp_claim_bed","Claim the bed","Claim the bed","Přivlastnit si postel","Beanspruche das Bett","Занять кровать","Weź łóżko","Ágyat vesz","Prendi il letto","Tomar la cama","Prendre le lit","认领床位","ベッドを主張します","Pega a cama","认领床位",
"pp_release_bed","Release the bed","Release the bed","Uvolňete postel","Lassen Sie das Bett los","Освободить кровать","Zwolnij łóżko","Engedje el az ágyat","Rilascia il letto","Liberar la cama","Libérez le lit","放开床","ベッドを解放します","Solte a cama","放开床",
"STR_alp_dynamite","Dynamite","Dynamite","Dynamit","Dynamit","Динамит","Dynamit","Dinamit","Dinamite","Dinamita","Dynamiter","炸药","ダイナマイト","Dinamite","炸药",
"STR_alp_dynamite_desc","Dynamite is an explosive made of nitroglycerin, sorbents and stabilizers.","Dynamite is an explosive made of nitroglycerin, sorbents and stabilizers.","Dynamit je výbušnina založená na explozivním potenciálu nitroglycerinu, který se v ní vyskytuje absorbován v křemelině.","Dynamit ist ein Sprengstoff aus Nitroglycerin, Sorbentien und Stabilisatoren.","Динамит – это взрывчатое вещество, состоящее из нитроглицерина, сорбентов и стабилизаторов.","Dynamit jest wybuchem opartym na potencjale wybuchowym nitrogliceryny, który występuje w jej wchłanianiu w kwarcu.","A dinamit egy robbanásveszélyes, amely a nitroglicerin robbanásveszélyes potenciálján alapul, amely a kvarcban felszívódott.","La dinamite è un esplosivo fatto di nitroglicerina, sorbenti e stabilizzatori. (Translation_Gelouko_OTera)","La dinamita es un explosivo hecho de nitroglicerina, sorbentes y estabilizadores. (Traducción_gelouko_otera)","La dynamite est un explosif fait de nitroglycérine, de sorbants et de stabilisateurs. (Traduction_gelouko_otera)","炸药是一种由硝酸甘油、吸附剂和稳定剂制成的炸药","ダイナマイトは、ニトログリセリン、吸着剤、安定剤で作られた爆発物です。","Dinamite é um explosivo feito de nitroglicerina, sorbents e estabilizadores.  (Tradução_Gelouko_Otera)","炸药是一种由硝酸甘油、吸附剂和稳定剂制成的炸药",
